date,temp,humidity,precipitation_mm,wind
2025-10-23T00:00,5.7,70,0.0,4.7
2025-10-23T01:00,5.4,62,0.0,1.9
2025-10-23T02:00,4.7,73,0.0,2.4
2025-10-23T03:00,4.5,74,0.0,3.7
2025-10-23T04:00,4.2,74,0.0,5.5
2025-10-23T05:00,3.6,80,0.0,4.5
2025-10-23T06:00,3.0,81,0.0,3.4
2025-10-23T07:00,3.0,77,0.0,2.5
2025-10-23T08:00,2.6,76,0.0,1.1
2025-10-23T09:00,4.1,83,0.0,2.6
2025-10-23T10:00,7.3,76,0.0,9.1
2025-10-23T11:00,9.7,61,0.0,10.8
2025-10-23T12:00,11.1,58,0.0,14.4
2025-10-23T13:00,12.5,49,0.0,13.8
2025-10-23T14:00,13.5,46,0.0,14.8
2025-10-23T15:00,13.8,43,0.0,13.7
2025-10-23T16:00,14.2,38,0.0,16.2
2025-10-23T17:00,13.9,39,0.0,14.3
2025-10-23T18:00,13.0,41,0.0,15.2
2025-10-23T19:00,10.8,46,0.0,7.2
2025-10-23T20:00,9.0,54,0.0,6.1
2025-10-23T21:00,7.2,55,0.0,1.6
2025-10-23T22:00,5.8,61,0.0,2.7
2025-10-23T23:00,5.4,60,0.0,1.9
2025-10-24T00:00,5.0,60,0.0,2.5
2025-10-24T01:00,4.5,63,0.0,2.6
2025-10-24T02:00,4.0,66,0.0,3.3
2025-10-24T03:00,3.3,69,0.0,3.7
2025-10-24T04:00,2.8,71,0.0,1.6
2025-10-24T05:00,2.3,73,0.0,1.1
2025-10-24T06:00,2.1,73,0.0,0.5
2025-10-24T07:00,1.9,71,0.0,0.8
2025-10-24T08:00,1.7,71,0.0,1.1
2025-10-24T09:00,2.9,73,0.0,2.6
2025-10-24T10:00,6.4,69,0.0,1.8
2025-10-24T11:00,9.3,57,0.0,2.9
2025-10-24T12:00,11.4,49,0.0,5.6
2025-10-24T13:00,12.4,45,0.0,7.5
2025-10-24T14:00,13.4,41,0.0,7.9
2025-10-24T15:00,14.2,39,0.0,7.9
2025-10-24T16:00,14.7,35,0.0,9.3
2025-10-24T17:00,14.8,33,0.0,10.2
2025-10-24T18:00,13.7,34,0.0,9.5
2025-10-24T19:00,10.9,40,0.0,8.0
2025-10-24T20:00,9.3,47,0.0,9.0
2025-10-24T21:00,8.2,50,0.0,8.7
2025-10-24T22:00,7.4,50,0.0,3.3
2025-10-24T23:00,6.6,52,0.0,0.8
2025-10-25T00:00,5.8,54,0.0,6.8
2025-10-25T01:00,5.1,59,0.0,3.6
2025-10-25T02:00,4.2,69,0.0,8.2
2025-10-25T03:00,4.2,68,0.0,6.3
2025-10-25T04:00,4.4,69,0.0,5.5
2025-10-25T05:00,4.6,70,0.0,7.2
2025-10-25T06:00,3.8,72,0.0,6.9
2025-10-25T07:00,4.2,71,0.0,6.1
2025-10-25T08:00,4.2,72,0.0,4.7
2025-10-25T09:00,5.3,72,0.0,4.5
2025-10-25T10:00,7.7,63,0.0,5.1
2025-10-25T11:00,10.0,55,0.0,7.1
2025-10-25T12:00,11.8,49,0.0,8.0
2025-10-25T13:00,13.0,45,0.0,8.7
2025-10-25T14:00,13.0,44,0.0,9.6
2025-10-25T15:00,13.2,44,0.0,8.4
2025-10-25T16:00,13.1,44,0.0,10.1
2025-10-25T17:00,12.8,44,0.0,10.7
2025-10-25T18:00,12.1,46,0.0,9.9
2025-10-25T19:00,10.8,49,0.0,7.9
2025-10-25T20:00,8.9,55,0.0,8.0
2025-10-25T21:00,9.8,53,0.0,8.4
2025-10-25T22:00,9.4,55,0.0,8.5
2025-10-25T23:00,8.9,57,0.0,7.5
2025-10-26T00:00,8.0,61,0.0,6.9
2025-10-26T01:00,8.6,60,0.0,7.9
2025-10-26T02:00,8.8,59,0.0,8.3
